team,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16
上海海港,0.1635,0.1995,0.267,0.351,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上海申花,0.304,0.254,0.244,0.1895,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
云南玉昆,0.0,0.0,0.0,0.0,0.013,0.077,0.1905,0.2495,0.2395,0.173,0.051,0.0055,0.001,0.0,0.0,0.0
北京国安,0.2715,0.2855,0.24,0.197,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大连英博,0.0,0.0,0.0,0.0,0.0105,0.0535,0.159,0.222,0.276,0.2005,0.0655,0.011,0.002,0.0,0.0,0.0
天津津门虎,0.0,0.0,0.0005,0.004,0.241,0.4375,0.1865,0.0855,0.031,0.0125,0.0015,0.0,0.0,0.0,0.0,0.0
山东泰山,0.0,0.0005,0.004,0.03,0.624,0.2285,0.0785,0.028,0.0055,0.001,0.0,0.0,0.0,0.0,0.0,0.0
成都蓉城,0.261,0.2605,0.2445,0.2285,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
梅州客家,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0095,0.043,0.1235,0.223,0.236,0.194,0.1695
武汉三镇,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.004,0.0115,0.0495,0.194,0.327,0.2265,0.1,0.0655,0.0205
河南,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.022,0.0555,0.1515,0.392,0.2155,0.1005,0.043,0.009,0.003
浙江,0.0,0.0,0.0,0.0,0.0675,0.183,0.274,0.2345,0.156,0.065,0.0195,0.0005,0.0,0.0,0.0,0.0
深圳新鹏城,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0215,0.069,0.1215,0.207,0.2735,0.3045
长春亚泰,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.027,0.0815,0.1305,0.199,0.2535,0.306
青岛海牛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.008,0.048,0.1365,0.191,0.2145,0.2045,0.1965
青岛西海岸,0.0,0.0,0.0,0.0,0.005,0.0185,0.104,0.1545,0.2225,0.324,0.137,0.03,0.004,0.0005,0.0,0.0
